level_0,index,ISO Code,dt,CO2,population,delta,AverageTemperature,footprint
4690,4690,IRQ,2006,3.565996057753379,27697912.0,1.59258,22.90433333333333,43405410.4365622
4691,4691,IRQ,2007,2.1893167321541025,28390433.0,1.70325,23.015000000000004,40032471.4713302
4692,4692,IRQ,2008,3.1997457904574005,29111417.0,1.80642,23.11816666666667,42130056.9256489
4693,4693,IRQ,2009,3.4971529355819224,29894652.0,1.68633,22.998083333333334,48653218.6396868
4694,4694,IRQ,2010,3.6471287745507133,30762701.0,3.33858,24.650333333333336,51514259.67615
4695,4695,IRQ,2011,4.235645491562043,31727053.0,1.2815,22.59325,52640186.069908
4696,4696,IRQ,2012,4.659523901996947,32776571.0,2.11717,23.428916666666666,61024275.6528095
4697,4697,IRQ,2013,4.884622664159422,33883145.0,2.92875,24.240500000000004,64839766.48066371
4698,4698,ISL,1960,6.9131932974130565,175574.0,0.71783,2.571333333333333,
4699,4699,ISL,1961,6.103849097073659,179029.0,0.15033,2.003833333333333,
4700,4700,ISL,1962,6.574855519854368,182378.0,-0.33633,1.5171666666666663,
4701,4701,ISL,1963,7.031677376611205,185653.0,-0.28058,1.572916666666667,
4702,4702,ISL,1964,6.927178635115327,188983.0,0.59617,2.449666666666667,
4703,4703,ISL,1965,7.265879991263015,192286.0,-0.41533,1.4381666666666666,
4704,4704,ISL,1966,7.650130388096334,195570.0,-0.76217,1.091333333333333,
4705,4705,ISL,1967,7.269387323837364,198751.0,-0.83925,1.0142500000000003,
4706,4706,ISL,1968,7.916823830699594,201488.0,-0.9595,0.8940000000000001,
4707,4707,ISL,1969,6.220785862152049,203369.0,-1.20667,0.646833333333333,
4708,4708,ISL,1970,6.79811483188057,204438.0,-0.77025,1.0832500000000005,
4709,4709,ISL,1971,7.1525876039554,206098.0,-0.49908,1.3544166666666666,
4710,4710,ISL,1972,7.10125420179117,209137.0,0.74433,2.597833333333333,
4711,4711,ISL,1973,8.255702557967568,212317.0,-0.75283,1.1006666666666662,
4712,4712,ISL,1974,8.09364385318458,215209.0,0.51658,2.370083333333333,
4713,4713,ISL,1975,7.418820161575197,217979.0,-0.48483,1.3686666666666667,
4714,4714,ISL,1976,7.745282847461323,220154.0,0.26567,2.119166666666667,
4715,4715,ISL,1977,8.597153278418748,221799.0,-0.26192,1.591583333333333,
4716,4716,ISL,1978,8.61233263397111,223537.0,-0.11892,1.7345833333333331,
4717,4717,ISL,1979,8.804633751965799,225735.0,-1.57942,0.2740833333333335,
4718,4718,ISL,1980,8.181464727489502,228138.0,-0.02025,1.83325,
4719,4719,ISL,1981,7.5960477562783035,230755.0,-1.212,0.6415000000000002,
4720,4720,ISL,1982,6.83662020011973,233860.0,-0.50925,1.34425,
4721,4721,ISL,1983,6.530059879228785,236977.0,-1.03575,0.8177500000000002,
4722,4722,ISL,1984,7.578628956498867,239511.0,0.20575,2.05925,
4723,4723,ISL,1985,6.744466767465462,241405.0,-0.44342,1.4100833333333331,
4724,4724,ISL,1986,7.343650793650793,243180.0,-0.3085,1.5449999999999997,
4725,4725,ISL,1987,7.532101733107187,245859.0,0.6935,2.5469999999999997,
4726,4726,ISL,1988,7.400368383118442,249740.0,-0.62708,1.2264166666666667,
4727,4727,ISL,1989,7.52682596934175,252852.0,-0.47267,1.3808333333333334,
4728,4728,ISL,1990,7.842665191150041,254826.0,-0.07875,1.7747500000000005,
4729,4729,ISL,1991,6.856146502868535,257797.0,0.68658,2.540083333333333,
4730,4730,ISL,1992,6.967183412051774,261057.0,-0.08442,1.7690833333333336,
4731,4731,ISL,1993,7.494598540145985,263725.0,-0.15025,1.7032499999999997,
4732,4732,ISL,1994,7.553975062119156,266021.0,-0.26917,1.5843333333333334,
4733,4733,ISL,1995,7.28003723809951,267468.0,-0.78525,1.06825,
4734,4734,ISL,1996,8.222645733240121,268916.0,0.466,2.319500000000001,
4735,4735,ISL,1997,7.763336874096368,271128.0,0.37017,2.223666666666667,
4736,4736,ISL,1998,7.667265104160964,274047.0,-0.24575,1.60775,
4737,4737,ISL,1999,7.456127131995342,277381.0,-0.01125,1.84225,
4738,4738,ISL,2000,7.693782116249712,281205.0,0.24975,2.10325,
4739,4739,ISL,2001,7.373427893658234,284968.0,0.51142,2.364916666666667,
4740,4740,ISL,2002,7.550227286164933,287523.0,0.81233,2.665833333333333,
4741,4741,ISL,2003,7.485457013480888,289521.0,1.48733,3.3408333333333333,
4742,4742,ISL,2004,7.68368290227819,292074.0,1.09492,2.9484166666666667,
4743,4743,ISL,2005,7.513584557212858,296734.0,0.34683,2.200333333333333,
4744,4744,ISL,2006,7.568614993646759,303782.0,0.829,2.6825,
4745,4745,ISL,2007,7.414833454227996,311566.0,0.70792,2.5614166666666667,
4746,4746,ISL,2008,6.677481144498982,317414.0,0.45942,2.3129166666666667,
4747,4747,ISL,2009,6.44749277077793,318499.0,0.6105,2.464,
4748,4748,ISL,2010,6.168528585937033,318041.0,0.82292,2.6764166666666664,
4749,4749,ISL,2011,5.896828979292445,319014.0,0.46192,2.3154166666666662,
4750,4750,ISL,2012,5.613991818306539,320716.0,0.60992,2.463416666666667,
4751,4751,ISL,2013,5.866946294214304,323764.0,1.06675,2.92025,
4752,4752,ISR,1960,3.0598518462455417,2114020.0,1.01342,20.723166666666668,
4753,4753,ISR,1961,3.235686956521739,2185000.0,-0.09292,19.616833333333336,5356638.96101238
4754,4754,ISR,1962,3.4638996947230702,2293000.0,1.08133,20.791083333333333,6177025.54298912
4755,4755,ISR,1963,3.4512034468263977,2379000.0,0.89492,20.604666666666667,6590273.62631902
4756,4756,ISR,1964,3.6966323232323237,2475000.0,-0.38467,19.325083333333332,7174870.82686067
4757,4757,ISR,1965,5.0505306281701134,2563000.0,0.22558,19.93533333333333,8624518.52432961
4758,4758,ISR,1966,5.172018257892735,2629000.0,0.79933,20.509083333333333,9406990.82152864
4759,4759,ISR,1967,4.933417486338798,2745000.0,-0.62883,19.080916666666663,9213808.97705127
4760,4760,ISR,1968,4.926836246878344,2803000.0,0.27367,19.983416666666667,10334991.375304302
4761,4761,ISR,1969,5.150624608967674,2877000.0,0.62583,20.335583333333336,10835730.9835851
4762,4762,ISR,1970,5.574481170141224,2974000.0,0.35892,20.068666666666665,11960202.3241375
4763,4763,ISR,1971,5.2943880742913,3069000.0,-0.06042,19.64933333333333,12406175.383468902
4764,4764,ISR,1972,5.379353875476492,3148000.0,-0.18008,19.529666666666667,12843988.7664724
4765,4765,ISR,1973,5.890915802318487,3278000.0,0.07375,19.7835,13305966.131859599
4766,4766,ISR,1974,5.758395321291086,3377000.0,-0.01642,19.69333333333333,12876004.551175999
4767,4767,ISR,1975,5.686768740955138,3455000.0,-0.04342,19.666333333333334,13991037.775822598
4768,4768,ISR,1976,5.550839513161619,3533000.0,-0.10117,19.60858333333333,13996868.6622924
4769,4769,ISR,1977,5.506082203155272,3613000.0,0.22592,19.93566666666666,14549488.344424801
4770,4770,ISR,1978,5.739004065040651,3690000.0,0.4825,20.192250000000005,14154325.918896899
4771,4771,ISR,1979,5.55183412572636,3786000.0,0.948,20.65775,15441204.803913198
4772,4772,ISR,1980,5.453220474471377,3878000.0,0.331,20.04075,13220759.7907106
4773,4773,ISR,1981,5.362384984833165,3956000.0,0.30967,20.019416666666665,14176303.0103165
4774,4774,ISR,1982,5.973998759612999,4031000.0,-0.3915,19.31825,14835816.3360265
4775,4775,ISR,1983,5.83146796589525,4105000.0,-0.50917,19.200583333333334,15126331.299585
4776,4776,ISR,1984,5.70902260158692,4159000.0,0.02067,19.730416666666667,15265402.3917052
4777,4777,ISR,1985,5.875169855894165,4233000.0,0.50642,20.216166666666666,15578292.1123413
4778,4778,ISR,1986,6.19355361712026,4299000.0,0.28842,19.998166666666666,16861593.0250401
4779,4779,ISR,1987,6.268060425726711,4369000.0,0.24208,19.951833333333337,18558096.4671538
4780,4780,ISR,1988,6.765210490769923,4442000.0,0.3505,20.06025,19964102.4162068
4781,4781,ISR,1989,7.0288224878264725,4518000.0,0.19225,19.902,19965221.0096362
4782,4782,ISR,1990,7.788833905579399,4660000.0,0.42008,20.129833333333334,20643685.739222698
4783,4783,ISR,1991,7.426619721155789,4949000.0,0.31217,20.021916666666666,21668068.4651987
4784,4784,ISR,1992,8.35257134491509,5123000.0,-0.68108,19.028666666666666,23310330.0463543
4785,4785,ISR,1993,8.567717924348983,5261000.0,0.26567,19.975416666666668,25326883.01918
4786,4786,ISR,1994,8.964758844230413,5399000.0,0.79058,20.500333333333334,27348377.6957585
4787,4787,ISR,1995,9.21544544634806,5545000.0,0.33358,20.043333333333333,28139355.5948789
4788,4788,ISR,1996,9.328559381588196,5692000.0,0.81833,20.528083333333328,29008167.676043898
4789,4789,ISR,1997,9.575293522960932,5836000.0,0.11342,19.823166666666673,29796412.077981897
4790,4790,ISR,1998,9.56208172835371,5971000.0,1.25667,20.96641666666667,30810088.498493396
4791,4791,ISR,1999,9.092962612244898,6125000.0,1.18242,20.892166666666665,31411970.7232659
4792,4792,ISR,2000,9.581779456193354,6289000.0,0.52067,20.230416666666667,33092608.8514557
4793,4793,ISR,2001,9.876810218978102,6439000.0,1.22,20.92975,34708214.8669361
4794,4794,ISR,2002,9.103871689497717,6570000.0,1.01858,20.72833333333333,36146060.025107205
4795,4795,ISR,2003,9.400877468346861,6689700.0,0.90425,20.614,34819647.7930883
4796,4796,ISR,2004,8.667993097371125,6809000.0,0.78075,20.4905,38518191.906893395
4797,4797,ISR,2005,8.218088772167789,6930100.0,0.728,20.43775,37041879.5551814
4798,4798,ISR,2006,8.856488367806966,7053700.0,0.69942,20.409166666666668,39335837.7478178
4799,4799,ISR,2007,8.78433448002117,7180100.0,0.99183,20.70158333333333,39552606.751194604
4800,4800,ISR,2008,9.340093038528897,7308800.0,1.22033,20.930083333333336,39252363.7176807
4801,4801,ISR,2009,8.612472881265361,7485600.0,1.12167,20.831416666666666,37628978.481224
4802,4802,ISR,2010,9.035223254105672,7623600.0,2.60142,22.311166666666665,41620465.3865574
4803,4803,ISR,2011,8.901888279378815,7765800.0,0.6215,20.33125,47006689.2376327
4804,4804,ISR,2012,9.54796776436382,7910500.0,1.29633,21.006083333333333,49849191.0218443
4805,4805,ISR,2013,8.32178547056269,8059500.0,1.51262,21.222375,46581900.085693
4806,4806,ITA,1960,2.1784447715823005,50199700.0,-0.63975,13.072833333333335,
4807,4807,ITA,1961,2.464555809827975,50536350.0,-0.142,13.570583333333332,117336201.051652
